is a type of,The subject entity belongs to the category represented by the object entity.
uses,The subject entity makes use of the object entity.
are,The subject entity and the object entity are in a relationship of being.
may be given with,The subject entity has the possibility of being combined with the object entity.
involves,The subject entity includes the object entity as a component or part of its operation.
may aim to,The subject entity's goal is to achieve the purpose specified by the object entity.
devoted to,The subject entity is dedicated to the object entity.
is called,The subject entity is identified by the name of the object entity.
inhibit,The subject entity restrains or hinders the object entity.
induce,The subject entity causes the occurrence of the object entity.
can augment,The subject entity has the potential to increase the effect of the object entity.
excludes,The subject entity does not include or consider the object entity.
block,The subject entity prevents the object entity from progressing or functioning.
have,The subject entity possesses or includes the object entity.
from,The object entity originates or comes from the subject entity.
associated with,The subject entity is connected or linked with the object entity.
referred to as,The subject entity is known or identified as the object entity.
introduced into,The subject entity is brought into the object entity.
able to address,The subject entity has the capability to deal with the object entity at any specified location.
used in conjunction with,The subject entity is utilized together with the object entity.
constitute,The subject entity makes up or forms the object entity.
efficacy is confined to,The effectiveness of the subject entity is limited to the specified area of the object entity.
for,The subject entity is intended to be used in the treatment of the object entity.
include,The subject entity consists of the object entity.
interfering with,The subject entity disrupts the normal function of the object entity.
vary widely in,The object entity shows a broad range of differences in response to the subject entity.
can be thought of as,The subject entity can be considered as a form or method of the object entity.
are affected by,The object entity experiences an impact or influence from the subject entity.
decreased production of,The subject entity reduces the amount of the object entity.
also causes,"In addition to other effects, the subject entity brings about the object entity."
inflammation of,The subject entity causes swelling and irritation in the object entity.
find use in,The subject entity is utilized in a variety of applications involving the object entity.
result from,The object entity is a consequence of the subject entity.
against,The subject entity acts in opposition to the object entity.
in,The subject entity is located within or part of the object entity.
used in,The subject entity is utilized within the context of the object entity.
require,The subject entity necessitates the object entity.
is often used as,The subject entity is frequently employed as a representation of the object entity.
dose reduction is required,The subject entity demands a decrease in the object entity.
die with,The subject entity perishes in conjunction with the object entity.
must be administered to continue to reduce,The object entity needs to be given to persist in diminishing the subject entity.
apply,The subject entity implements the object entity.
in cycles,The object entity is carried out periodically by the subject entity.
limited by,The subject entity is restricted by the object entity.
can be,The subject entity has the potential to be the object entity.
rather than by,The subject entity is done using the method specified by the object entity instead of another method.
originally derived in,The subject entity was initially developed or obtained in the location or context specified by the object entity.
attempted to translate,The subject entity made an effort to convert the object entity from one form to another.
included,The subject entity contains the object entity as a part of its composition.
adopted as,The subject entity is chosen or accepted as the object entity.
for lack of,The subject entity is chosen due to the absence or insufficiency of the object entity.
has been questioned because,The subject entity's validity is doubted due to the reason specified by the object entity.
are influenced by,The subject entity is affected by the object entity.
is,The subject entity is identified as the object entity.
is more than,The subject entity exceeds the object entity.
receive,The subject entity obtains the object entity.
may be,The subject entity has the possibility of being the object entity.
is typical with,The subject entity is characteristic of the object entity.
was demonstrated in,The subject entity was proven to exist in the context specified by the object entity.
result in,The subject entity causes the object entity to happen.
