location,The subject entity is situated in the place specified by the object entity.
populationMetro,The subject entity has a metropolitan population that is quantified by the object entity.
leaderTitle,The subject entity has a leadership position or title that is defined by the object entity.
type,The subject entity is classified under the category specified by the object entity.
populationDensity,The subject entity has a population density that is measured and represented by the object entity.
utcOffset,The subject entity has a time offset from Coordinated Universal Time (UTC) as indicated by the object entity.
isPartOf,The subject entity is a component or subdivision of the entity specified by the object entity.
governmentType,The subject entity is governed by the type of government specified by the object entity.
length,"The subject entity has a measurement of length specified by the object entity, indicating its size or extent in a particular unit of measurement."
currentTenants,The subject entity is currently occupied or used by the entity specified by the object entity.
bornIn,The subject entity was born in the location specified by the object entity.
diedIn,The subject entity passed away in the location specified by the object entity.
ethnicGroup,The subject entity is associated with or contains the ethnic group specified by the object entity.
league,The subject entity competes in or is part of the league specified by the object entity.
numberOfMembers,The subject entity has a total membership count specified by the object entity.
firstAired,The subject entity was first aired or premiered on the date specified by the object entity.
builtIn,The subject entity was constructed or established in the year specified by the object entity.
relativeLocation,"The subject entity is positioned in relation to the specified entity, indicating a directional or locational relationship."
operatedBy,The subject entity is managed or run by the organization or entity specified by the object entity.
nationality,The subject entity holds the nationality specified by the object entity.
selectedBy,The subject entity was chosen or selected by the organization or entity specified by the object entity.
occupation,The subject entity holds the job or role specified by the object entity.
birthDate,The subject entity was born on the date specified by the object entity.
elevation,The subject entity is positioned at the height specified by the object entity above sea level.
groundOf,The subject entity serves as the ground or venue for the organization or team specified by the object entity.
affiliatedWith,The subject entity has a formal connection or association with the organization or entity specified by the object entity.
startedPerforming,The subject entity began their performance career in the year specified by the object entity.
foundedOn,The subject entity was established or created on the date specified by the object entity.
makes,The subject entity produces or manufactures the products specified by the object entity.
architect,"The subject entity was designed or created by the person specified by the object entity, indicating the individual responsible for its architectural design."
madeFrom,The subject entity is composed of or consists of the ingredients or components specified by the object entity.
currency,The subject entity is the currency used in the country or region specified by the object entity.
partOf,The subject entity is a member or participant in the group or event specified by the object entity.
marriedTo,The subject entity is legally married to the person specified by the object entity.
inOfficeWith,The subject entity held office concurrently with the person specified by the object entity.
broadcastedBy,The subject entity is broadcasted or transmitted by the entity specified by the object entity.
discoveredBy,The subject entity was discovered by the person or entity specified by the object entity.
rotationPeriod,"The subject entity has a rotation period that is specified by the object entity, indicating the time it takes to complete one full rotation."
orbitalPeriod,"The subject entity has an orbital period that is specified by the object entity, indicating the time it takes to complete one full orbit around a celestial body."
apoapsis,"The subject entity has an apoapsis value specified by the object entity, which refers to the point in its orbit that is farthest from the body it orbits."
absoluteMagnitude,"The subject entity has an absolute magnitude specified by the object entity, which is a measure of its intrinsic brightness."
diedOn,The subject entity passed away on the date specified by the object entity.
studiedAt,The subject entity attended or was enrolled in the institution specified by the object entity.
runwayName,"The subject entity is identified by the name specified by the object entity, which is used to designate a specific runway."
debutFor,The subject entity made their first appearance or started their career with the team or organization specified by the object entity.
currentlyPlaysFor,The subject entity is actively playing for the team or organization specified by the object entity at the present time.
operator,The subject entity is managed or operated by the entity specified by the object entity.
weight,The subject entity has a weight measured in the units specified by the object entity.
constructedBetween,The subject entity was built during the time period specified by the object entity.
municipality,The subject entity is situated within the municipality specified by the object entity.
discovered,The subject entity identified or found the object entity.
instrument,The subject entity plays or utilizes the specified object entity as a musical instrument in their performances.
wonAward,The subject entity received the award specified by the object entity.
serves,The subject entity provides services or functions for the entity specified by the object entity.
region,The subject entity is associated with or originates from the geographical area specified by the object entity.
productionEnd,The subject entity concluded its production or manufacturing process in the year specified by the object entity.
assemblyLineLocation,"The subject entity was produced at the location specified by the object entity, which is an assembly line."
founderOf,The subject entity is the person or entity that established or created the organization or entity specified by the object entity.
periapsis,"The subject entity has a closest point in its orbit to the central body, measured at the distance specified by the object entity."
epoch,The subject entity reaches a specific point in time or event denoted by the object entity.
powerType,The subject entity operates using the type of power system specified by the object entity.
canBeVariedBy,The subject entity can be modified or altered by the addition of the item specified by the object entity.
crewMemberOf,The subject entity was a member of the crew for the entity specified by the object entity.
retiredOn,The subject entity ceased active participation or employment on the date specified by the object entity.
writtenBy,The subject entity was authored or created by the person or entity specified by the object entity.
numberOfPages,The subject entity has the specified number of pages as indicated by the object entity.
highestTitle,The subject entity holds the title specified by the object entity as its highest official position.
timeZone,The subject entity operates within the time zone specified by the object entity.
yearlyEarnings,The subject entity generates earnings amounting to the value specified by the object entity on a yearly basis.
hasSubsidiary,The subject entity possesses a subsidiary that is identified by the object entity.
nickname,The subject entity is known by the name specified by the object entity.
championship,The subject entity has achieved success in the competition specified by the object entity.
height,"The subject entity has a physical measurement specified by the object entity, indicating its stature or size."
previousTeam,The subject entity was a member of the team specified by the object entity in the past.
attendedSchool,The subject entity attended the educational institution specified by the object entity.
followedBy,The subject entity is succeeded or comes after the entity specified by the object entity in a sequence or series.
precededBy,The subject entity is preceded or comes before the entity specified by the object entity in a sequence or series.
contains,The subject entity includes or holds within it the entity specified by the object entity.
builder,The subject entity was constructed or created by the entity specified by the object entity.
leader,The subject entity is governed or led by the individual or title specified by the object entity.
category,The subject entity belongs to the category specified by the object entity.
leadership,The subject entity is guided or managed by the individual or role specified by the object entity.
fatherOf,The subject entity is a parent to the individual specified by the object entity.
owner,The subject entity possesses or has legal ownership of the object entity.
address,The subject entity is situated at the specified address given by the object entity.
constructionStartDate,The subject entity's construction began on the date specified by the object entity.
numberOfEmployees,The subject entity has the specified number of employees.
